"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"drep_tcell100p_scored_target",76,0.01,109,132,125,132
"tcell0pt3p_scored_target",76,0.01,0,132,0,132
"tcell10p_scored_target",76,0.01,66,132,76,132
"tcell1p_scored_target",76,0.01,0,132,0,132
"tcell30p_scored_target",76,0.01,94,132,105,132
"tcell3p_scored_target",76,0.01,52,132,61,132
"drep_tcell100p_scored_target",77,0.01,109,132,125,132
"tcell0pt3p_scored_target",77,0.01,0,132,0,132
"tcell10p_scored_target",77,0.01,66,132,77,132
"tcell1p_scored_target",77,0.01,0,132,0,132
"tcell30p_scored_target",77,0.01,94,132,104,132
"tcell3p_scored_target",77,0.01,0,132,55,132
"drep_tcell100p_scored_target",78,0.01,109,132,125,132
"tcell0pt3p_scored_target",78,0.01,0,132,0,132
"tcell10p_scored_target",78,0.01,66,132,74,132
"tcell1p_scored_target",78,0.01,0,132,0,132
"tcell30p_scored_target",78,0.01,94,132,103,132
"tcell3p_scored_target",78,0.01,0,132,56,132
"drep_tcell100p_scored_target",79,0.01,109,132,125,132
"tcell0pt3p_scored_target",79,0.01,26,132,0,132
"tcell10p_scored_target",79,0.01,66,132,79,132
"tcell1p_scored_target",79,0.01,0,132,0,132
"tcell30p_scored_target",79,0.01,94,132,101,132
"tcell3p_scored_target",79,0.01,39,132,51,132
"drep_tcell100p_scored_target",80,0.01,109,132,125,132
"tcell0pt3p_scored_target",80,0.01,25,132,0,132
"tcell10p_scored_target",80,0.01,66,132,72,132
"tcell1p_scored_target",80,0.01,0,132,0,132
"tcell30p_scored_target",80,0.01,94,132,105,132
"tcell3p_scored_target",80,0.01,0,132,55,132
"drep_tcell100p_scored_target",81,0.01,109,132,125,132
"tcell0pt3p_scored_target",81,0.01,0,132,0,132
"tcell10p_scored_target",81,0.01,66,132,77,132
"tcell1p_scored_target",81,0.01,0,132,0,132
"tcell30p_scored_target",81,0.01,94,132,103,132
"tcell3p_scored_target",81,0.01,51,132,58,132
"drep_tcell100p_scored_target",82,0.01,109,132,125,132
"tcell0pt3p_scored_target",82,0.01,0,132,0,132
"tcell10p_scored_target",82,0.01,66,132,77,132
"tcell1p_scored_target",82,0.01,0,132,0,132
"tcell30p_scored_target",82,0.01,94,132,103,132
"tcell3p_scored_target",82,0.01,38,132,52,132
"drep_tcell100p_scored_target",83,0.01,109,132,125,132
"tcell0pt3p_scored_target",83,0.01,0,132,0,132
"tcell10p_scored_target",83,0.01,66,132,72,132
"tcell1p_scored_target",83,0.01,0,132,0,132
"tcell30p_scored_target",83,0.01,94,132,101,132
"tcell3p_scored_target",83,0.01,39,132,53,132
"drep_tcell100p_scored_target",84,0.01,109,132,125,132
"tcell0pt3p_scored_target",84,0.01,0,132,0,132
"tcell10p_scored_target",84,0.01,66,132,79,132
"tcell1p_scored_target",84,0.01,0,132,0,132
"tcell30p_scored_target",84,0.01,94,132,104,132
"tcell3p_scored_target",84,0.01,51,132,57,132
"drep_tcell100p_scored_target",85,0.01,109,132,126,132
"tcell0pt3p_scored_target",85,0.01,0,132,0,132
"tcell10p_scored_target",85,0.01,66,132,76,132
"tcell1p_scored_target",85,0.01,12,132,0,132
"tcell30p_scored_target",85,0.01,94,132,105,132
"tcell3p_scored_target",85,0.01,0,132,55,132
"drep_tcell100p_scored_target",86,0.01,109,132,125,132
