"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
6,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed6_label0_pep_ipspline.txt",0.01,132,26,132,0
6,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed6_label0_pep_ipspline.txt",0.05,132,28,132,39
7,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed7_label0_pep_ipspline.txt",0.01,132,25,132,0
7,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed7_label0_pep_ipspline.txt",0.05,132,28,132,35
8,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed8_label0_pep_ipspline.txt",0.01,132,26,132,0
8,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed8_label0_pep_ipspline.txt",0.05,132,28,132,38
9,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed9_label0_pep_ipspline.txt",0.01,132,26,132,0
9,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed9_label0_pep_ipspline.txt",0.05,132,28,132,40
10,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed10_label0_pep_ipspline.txt",0.01,132,0,132,0
10,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed10_label0_pep_ipspline.txt",0.05,132,29,132,39
11,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed11_label0_pep_ipspline.txt",0.01,132,25,132,0
11,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed11_label0_pep_ipspline.txt",0.05,132,29,132,42
12,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed12_label0_pep_ipspline.txt",0.01,132,0,132,0
12,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed12_label0_pep_ipspline.txt",0.05,132,30,132,41
13,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed13_label0_pep_ipspline.txt",0.01,132,0,132,0
13,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed13_label0_pep_ipspline.txt",0.05,132,32,132,45
